01_Clase,02_Orden,03_Familia,04_Nombre científico I,05_Nombre científico II,06_Nombre vernáculo,07_CITES,08_Categoría amenaza nacional Res. 1912/2017,09_Endemismo,10_Migratoria,11_Introducida/Invasora,12_Distribución,Amagá,Amalfi,Andes,Angelópolis,Angostura,Anorí,Anzá,Armenia,Barbosa,Bello,Belmira,Betania,Betulia,Briceño,Buriticá,Cáceres,Caicedo,Caldas,Campamento,Caracolí,Caramanta,Carolina del Príncipe,Caucasia,Cisneros,Ciudad Bolívar,Concordia,Copacabana,Donmatías,Ebéjico,El Bagre,Entrerríos,Envigado,Fredonia,Girardota,Gómez Plata,Guadalupe,Heliconia,Hispania,Itagüí,Ituango,Jardín,Jericó,La Estrella,La Pintada,Liborina,Maceo,Medellín,Montebello,Nechí,Olaya,Pueblorrico,Puerto Berrío,Puerto Nare,Remedios,Sabanalarga,Sabaneta,Salgar,San Andrés de Cuerquia,San Jerónimo,San José de la Montaña,San Pedro de los Milagros,Santa Bárbara,Santa Fe de Antioquia,Santa Rosa de Osos,Segovia,Sopetrán,Támesis,Tarazá,Tarso,Titiribí,Toledo,Valdivia,Valparaíso,Vegachí,Venecia,Yalí,Yarumal,Yolombó,Yondó,Zaragoza
AVES,PELECANIFORMES,Ardeidae,Nycticorax nycticorax,,Guaco común,,,,Migratoria,,0-2600,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,,,,,,11,,,,,,11,,,,,,,,,,,,22,,,,,,22,,,,,
AVES,PELECANIFORMES,Ardeidae,Pilherodius pileatus,,Garza crestada,,,,,,0-500,,30; 44,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,,,,,,,,,,,,,30
AVES,PELECANIFORMES,Ardeidae,Tigrisoma fasciatum,,Vaco cabecinegro,,,,,,120-1800,,,,,,,22,22,,,,,22,34,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,10,,,,,,10,,,,,,,,,,,,,19,,,,22,,,,,,22,,34,,,
AVES,PELECANIFORMES,Ardeidae,Tigrisoma lineatum,,Vaco colorado,,,,,,0-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,
AVES,PELECANIFORMES,Pelecanidae,Pelecanus occidentalis,,Pelícano común,,,,,,0-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PELECANIFORMES,Phalacrocoracidae,Phalacrocorax brasilianus,,Cormorán neotropical,,,,Migratoria,,0-2600,,30,,,,30,5; 22; 26,22,,,,,22,34,,,5,,,,38,,,,,,,,22,24,,,22,,,,,,,,,22,,38,,,,,,,,,,,,,,,,,,,5; 26,,30,,,,22,,,,38,,22,,34,,,30
AVES,PELECANIFORMES,Threskiornithidae,Eudocimus albus,,Ibis blanco,,,,,,0-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PELECANIFORMES,Threskiornithidae,Mesembrinibis cayennensis,,Ibis verde,,,,,,0-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PELECANIFORMES,Threskiornithidae,Phimosus infuscatus,,Coquito,,,,,,0-1000,,,,,,,22,22,,,,,22,,,,,,,,,,,28,,,,,22,,,,22,,,,,,,,,22,,,,10,,,,,,10,,,,,,,,,,,,,,,,,22,,,,,,22,,,,,
AVES,PELECANIFORMES,Threskiornithidae,Platalea ajaja,,Espátula,,,,,,0-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PELECANIFORMES,Threskiornithidae,Theristicus caudatus,,Coclí,,,,,,0-1600,,30,,,,30,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,30,,,,22,,,,,,22,,,,,30
AVES,PICIFORMES,Picidae,Campephilus haematogaster,,Carpintero selvático,,,,,,0-1100,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,30
AVES,PICIFORMES,Picidae,Campephilus melanoleucos,,Carpintero marcial,,,,,,0-3100,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10,,,,,9; 11,10,,,,,11,,,,,,23,,19,,,,9,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Campephilus pollens,,Carpintero gigante,,,,,,900-3600,,,25,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Celeus loricatus,,Carpintero canelo,,,,,,0-1500,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,,,,,,,,,,,,,30
AVES,PICIFORMES,Picidae,Colaptes punctigula,Chrysoptilus punctigula,Carpintero buchipecoso,,,,,,0-1500,36,,,,,33,22,22,,,,,22,18; 34,,,,36,,,38,,,,,,,,22,,,,22,,,,,,,18,,9; 22; 37,,37; 38,,10,,,,,9; 11,10,,,,,11,,,,,,23,,19,,37,,9; 22; 37,36,,18,37; 38,,22; 36; 37,,34,,,
AVES,PICIFORMES,Picidae,Colaptes rubiginosus,,Carpintero verdidorado,,,,,,,,,25,,,33,,,,,,,,18; 34,,,,,,,,13,,,,,,,,,,,,,,,,,,18,25,27,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,18,,,,,34,,,
AVES,PICIFORMES,Picidae,Colaptes rivolii,,Carpintero dorsicarmesí,,,,,,1800-3500,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Dryocopus lineatus,,Carpintero real,,,,,,0-2100,,,25,,,33,22; 26,22,,,,,22,34,,,,,,,,,14,,,,,42,22,,,,22,,,,,,,,25,22; 37,,37,41,10,,,,,11,10,,,,,11,,,,,,23; 26,42,19,,37,29; 31,22; 37,,,,37,,22; 37,,34,,,
AVES,PICIFORMES,Picidae,Leuconotopicus fumigatus,"Picoides fumigatus, Veniliornis fumigatus",Carpintero ahumado,,,,,,600-2800,,,25,,,33,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,25,,,,,,39,,,,,,,,,,,,39,,,,39,,,39,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Melanerpes formicivorus,,Carpintero de los robles,,,,,,1400-3300,,,25,8,,33,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,25,9; 27,,,,,8,,,,9,,,,,,,,,40,,,,32,19,,,,9,,,,,,,,34,,,
AVES,PICIFORMES,Picidae,Melanerpes pucherani,,Carpintero de antifaz,,,,,,0-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Melanerpes pulcher,,Carpintero bonito,,,END,,,400-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Melanerpes rubricapillus,,Carpintero habado,,,,,,0-1700,36,44,25,,,33,22; 26,22,,,,,22,34,,,,36,,,38,,,28,,,,42,22,24,,,22,,,,,,,18; 35,25,9; 22; 37,,37; 38,41,10,,,,,9,10,,,,,,,,,,,23; 26,42,19,,37,29; 31,9; 22; 37,36,,18,37; 38,,22; 36; 37,,34,,,
AVES,PICIFORMES,Picidae,Piculus chrysochloros,,Carpintero dorado,,,,,,0-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Piculus leucolaemus,,Carpintero bigotudo,,,,,,100-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Piculus rivolii,,Carpintero carmesí,,,,,,1800-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Piculus rubiginosus,,Carpintero cariblanco,,,,,,900-3100,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,8,,,,9,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Picumnus granadensis,,Carpinterito punteado,,,END,,,800-2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,37,,,,,,,,,,,,,,,,,,,,,,,37,,37,,,,37,,37,,,,,
AVES,PICIFORMES,Picidae,Picumnus olivaceus,,Carpinterito oliváceo,,,,,,0-2500,36,,25,,,33,22; 26,22,,,,,22,18; 34,,,,36,,,,13,,,,,,42,22,,,,22,,,,,,,18; 35,25,9; 22; 37,,37,41,10,,,,,9,10,,,,,,,,,,,23; 26,42,,,37,,9; 22; 37,36,,18,37,,22; 36; 37,,34,,,
AVES,PICIFORMES,Picidae,Veniliornis dignus,,Carpintero ventriamarillo,,,,,,700-2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Picidae,Veniliornis kirkii,,Carpintero rabirrojo,,,,,,0-1300,36,44,,,,,22; 26,22,,,,,22,18,,,,36,,,38,,,,,,,,22,,,,22,,,,,,,18; 35,,22; 37,,37; 38,41,10,,,,,11,10,,,,,11,,,,,,23; 26,,,,37,29; 31,22; 37,36,,18,37; 38,,22; 36; 37,,,,,
AVES,PICIFORMES,Picidae,Veniliornis nigriceps,,Carpintero paramuno,,,,,,2800-3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Ramphastidae,Andigena nigrirostris,,Terlaque andino,,,,,,1600-3200,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,9,,,,,,,,,9,,,,,,,,,40,,,,,,,,,9,,,,,,,,,,,
AVES,PICIFORMES,Ramphastidae,Aulacorhynchus haematopygus,,Tucancito rabirrojo,,,,,,300-2100,,,25,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Ramphastidae,Aulacorhynchus prasinus,,Tucancito esmeralda,,,,,,1600-3700,,44,25,8,,,5,,,,,,,34,,,5,,,,,13,,,,,,,,,,,,,,,,,,,25,9; 27,,,,,39,,,,9,,,,,,,,39,,,,5; 39,,,39,,,9,,,,,,,,34,,,
AVES,PICIFORMES,Ramphastidae,Capito hypoleucus,,Torito capiblanco,,EN,END,,,200-1500,,30,,,,30; 33,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,30,,,,,,,,,,,,34,,,30
AVES,PICIFORMES,Ramphastidae,Capito maculicoronatus,,Torito cabeciblanco,,,,,,0-1000,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19; 30,,,,,,,,,,,,,,,30
AVES,PICIFORMES,Ramphastidae,Eubucco bourcierii,,Torito cabecirrojo,,,,,,400-2400,,,25,8,,33,5; 26,,,,,,,,,,5,,,,,13,,,,,,42,,,,,,,,,,,,,25,27,,,,,,,,,,,,,,,,,,,,,5; 26,42,,,,,,,,,,,,,,,,
AVES,PICIFORMES,Ramphastidae,Pteroglossus torquatus,,Pichí collarejo,,,,,,0-800,,30,,,,30,22,22,,,,,22,18; 34,,,,,,,,,,28,,,,,22,,,,22,,,,,,,18; 35,,22,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,29; 31,22,,,18,,,22,,34,,,30
AVES,PICIFORMES,Ramphastidae,Ramphastos ambiguus,Ramphastos swainsonii,Tucán diostedé,,,,,,100-2400,,30; 44,,,,30; 33,,,,,,,,18; 34,,,,,,,,,,,,,,,,24,,,,,,,,,,18,,,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,29; 31,,,,18,,,,,34,,,30
AVES,PICIFORMES,Ramphastidae,Ramphastos vitellinus,"Ramphastos aurantiirostris, Ramphastos citreolaemus",Tucán limón,II,,,,,0-900,,30,,,,30; 33,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,,,,,,,,,,,,,30
AVES,PICIFORMES,Ramphastidae,Selenidera spectabilis,,Pichilingo negro,,,,,,0-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PODICIPEDIFORMES,Podicipedidae,Podilymbus podiceps,,Zambullidor común,,,,,,0-3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PODICIPEDIFORMES,Podicipedidae,Tachybaptus dominicus,,Zambullidor chico,,,,,,0-2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Amazona amazonica,Psittacus amazonicus,Lora cariamarilla,II,,,,,0-500,,,,,,,,,,,,,,34,,,,,,,,,,28,,,,,,24,,,,,,,,,,,,,,,,10,,,,,11,10,,,,,11,,,,,,23,,19,,,,,,,,,,,,34,,,
AVES,PSITTACIFORMES,Psittacidae,Amazona autumnalis,Psittacus autummalis,Lora petirroja,II,,CARISM,,,0-1000,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,24,,,22,,,,,,,,,22,,,,10,,,,,11,10,,,,,11,,,,,,,,19,,,,22,,,,,,22,,,,,
AVES,PSITTACIFORMES,Psittacidae,Amazona farinosa,Psittacus farinosus,Lora real,II,,,,,0-1100,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,23,,,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Amazona mercenaria,Psittacus mercenarius,Lora andina,II,,,,,1600-3600,,,25,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Amazona ochrocephala,Psittacus ochrocephalus,Lora común,II,,CARISM,,,0-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,23,,19,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Ara ambiguus,Psittacus ambiguus,Guacamaya verdelimón,I,EN,,,,0-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
